'track','setup','tyre lf','tyre rf','tyre lr','tyre rr','cam lf','cam rf','cam lr','cam rr','toe fl','toe fr','toe lr','toe rr','cas lf','cas rf','steer','tc1','tc2','abs','ecu','mix','fuel','pad f','pad r','roll f','roll r','spring lf','spring rf','spring lr','spring rr','bsup lf','bsup rf','bsup lr','bsup rr','bsdn lf','bsdn rf','bsdn lr','bsdn rr','bsw lf','bsw rf','bsw lr','bsw rr','bias','bs lf','bs rf','bs lr','bs rr','bf lf','bf rf','bf lr','bf rr','rs lf','rs rf','rs lr','rs rr','rf lf','rf rf','rf lr','rf rr','rh lf','rh rf','rh lr','rh rr','wing','duc f','duc r','preload','fuelPerLap','20m'
,brands_hatch,tryme.json,15,21,11,15,15,21,11,15,9,9,12,12,9,9,12,12,31,31,50,50,31,31,50,50,46,46,4,2,3,3,0,0,60,undefined,undefined,27,10,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,0,0,10,10,0,0,10,10,0,0,50,50,0,0,50,50,43,8,8,5,5,8,8,5,5,2,2,3,3,2,2,3,3,7,7,5,5,7,7,5,5,4,4,4,4,4,4,4,4,2,6,3,18,2,6,3,18,14,2,2,2,2,8,,
,Hungaroring,1 47 6 safe.json,24,24,16,16,24,24,16,16,14,14,18,18,14,14,18,18,20,20,60,60,20,20,60,60,46,46,4,4,4,5,0,0,60,undefined,undefined,22,1,4,4,2,2,4,4,2,2,6,6,2,2,6,6,2,2,0,0,10,10,0,0,10,10,2,2,50,50,2,2,50,50,38,8,8,8,8,8,8,8,8,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,6,2,18,3,6,2,18,12,4,4,4,4,9,,
,Hungaroring,132 Agg 1 47 9.json,63,69,59,63,63,69,59,63,18,18,18,18,18,18,18,18,30,30,56,56,30,30,56,56,46,46,3,2,2,3,0,0,37,0,0,29,2,8,8,5,5,8,8,5,5,7,7,2,2,7,7,2,2,0,0,10,10,0,0,10,10,2,2,50,50,2,2,50,50,42,8,8,5,5,8,8,5,5,2,2,3,3,2,2,3,3,7,7,5,5,7,7,5,5,4,4,4,4,4,4,4,4,0,6,2,18,0,6,2,18,11,2,1,2,1,12,,
,Hungaroring,132 Agg.json,65,72,64,65,65,72,64,65,12,12,13,13,12,12,13,13,30,30,60,60,30,30,60,60,46,46,4,2,2,2,0,0,41,3,3,24,3,8,8,1,1,8,8,1,1,7,7,2,2,7,7,2,2,0,0,10,10,0,0,10,10,2,2,50,50,2,2,50,50,53,6,6,5,5,6,6,5,5,2,2,3,3,2,2,3,3,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,0,6,2,18,0,6,2,18,11,2,1,2,1,18,,
,Hungaroring,488 Hungary Quali Academy.json,50,57,47,48,50,57,47,48,12,12,15,15,12,12,15,15,32,32,50,50,32,32,50,50,46,46,4,3,2,3,0,0,0,0,0,22,14,7,7,2,2,7,7,2,2,9,9,7,7,9,9,7,7,0,0,10,10,0,0,10,10,2,2,50,50,2,2,50,50,40,7,7,4,4,7,7,4,4,2,2,3,3,2,2,3,3,6,6,5,5,6,6,5,5,4,4,4,4,4,4,4,4,0,6,2,18,0,6,2,18,14,2,2,2,2,13,,
,Hungaroring,488 Hungary Race Academy.json,50,57,47,48,50,57,47,48,12,12,15,15,12,12,15,15,35,35,54,54,35,35,54,54,46,46,4,3,2,3,0,0,99,1,1,23,10,7,7,2,2,7,7,2,2,9,9,7,7,9,9,7,7,0,0,10,10,0,0,10,10,2,2,50,50,2,2,50,50,42,7,7,4,4,7,7,4,4,2,2,3,3,2,2,3,3,6,6,5,5,6,6,5,5,4,4,4,4,4,4,4,4,0,6,1,18,0,6,1,18,12,3,2,3,2,17,,
,Hungaroring,AggPre.json,10,17,7,8,10,17,7,8,12,12,13,13,12,12,13,13,30,30,60,60,30,30,60,60,46,46,4,1,3,1,0,0,42,undefined,undefined,24,3,3,3,1,1,3,3,1,1,7,7,2,2,7,7,2,2,0,0,10,10,0,0,10,10,2,2,50,50,2,2,50,50,57,6,6,5,5,6,6,5,5,2,2,3,3,2,2,3,3,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,0,6,2,18,0,6,2,18,11,2,1,2,1,18,,
,Hungaroring,less firm more roll 1 47 4.json,24,24,16,16,24,24,16,16,14,14,18,18,14,14,18,18,25,25,55,55,25,25,55,55,46,46,4,4,4,5,0,0,48,undefined,undefined,29,12,3,3,1,1,3,3,1,1,4,4,2,2,4,4,2,2,0,0,10,10,0,0,10,10,1,1,50,50,1,1,50,50,38,8,8,8,8,8,8,8,8,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,6,1,18,1,6,1,18,13,2,2,2,2,9,,
,Hungaroring,Paul Richard Fast.json,20,25,20,26,20,25,20,26,12,12,14,14,12,12,14,14,30,30,50,50,30,30,50,50,46,46,4,4,4,5,0,0,35,undefined,undefined,33,5,4,4,1,1,4,4,1,1,8,8,2,2,8,8,2,2,0,0,10,10,0,0,10,10,0,0,50,50,0,0,50,50,44,9,9,5,5,9,9,5,5,3,3,4,4,3,3,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,2,6,1,18,2,6,1,18,3,2,2,2,2,24,,
,Hungaroring,stiff fr.json,12,17,7,8,12,17,7,8,14,14,13,13,14,14,13,13,30,30,60,60,30,30,60,60,46,46,4,1,1,2,0,0,42,undefined,undefined,37,20,3,3,1,1,3,3,1,1,7,7,2,2,7,7,2,2,0,0,10,10,0,0,10,10,2,2,50,50,2,2,50,50,33,6,6,5,5,6,6,5,5,2,2,3,3,2,2,3,3,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,0,6,2,18,0,6,2,18,14,2,2,2,2,4,,
,Kyalami,132 aGG 1 42 8.json,68,67,69,67,68,67,69,67,16,16,16,16,16,16,16,16,32,32,55,55,32,32,55,55,47,47,3,3,3,4,0,0,33,0,0,36,15,8,8,5,5,8,8,5,5,7,7,2,2,7,7,2,2,0,0,10,10,0,0,10,10,0,0,50,50,0,0,50,50,38,5,5,4,4,5,5,4,4,2,2,3,3,2,2,3,3,7,7,5,5,7,7,5,5,4,4,4,4,4,4,4,4,0,6,4,18,0,6,4,18,10,3,2,3,2,20,,
